ID_Venta,Fecha_Venta,Codigo_Producto,Cantidad,Precio_Unitario,CUIT_Cliente,,venta Total
21,01/01/2018,DVD_REC,10,11890.47,20-33853109-5,,118904.7
19,21/02/2018,HD_WESTERN,10,11726.4,21-28243308-5,,117264
44,20/05/2018,HD_WESTERN,10,11558.28,20-33853109-5,,115582.8
219,22/05/2018,HD_WESTERN,10,11383.43,21-28243308-5,,113834.3
224,09/03/2018,HD_WESTERN,10,11251.25,20-33853109-5,,112512.5
111,11/05/2018,LCD_TV,10,11058.94,20-33853109-5,,110589.4
216,10/10/2018,LCD_TV,10,10900.9,20-33853109-5,,109009
213,15/12/2017,LCD_TV,9,11456.58,20-33853109-5,,103109.22
5,26/12/2017,HD_WESTERN,9,11444.06,20-15343109-5,,102996.54
88,14/10/2018,HD_WESTERN,10,10205.31,20-15343109-5,,102053.1
101,15/03/2018,HD_WESTERN,9,11002.88,20-15343109-5,,99025.92
36,23/07/2018,HD_WESTERN,10,9830.24,20-15343109-5,,98302.4
155,17/07/2018,HD_WESTERN,8,11764.82,20-33853109-5,,94118.56
45,19/12/2017,KEYBRD_485,8,11391.77,21-28243308-5,,91134.16
82,12/12/2017,MONITOR_LG,9,10026.4,20-15343109-5,,90237.6
80,10/05/2018,MONITOR_LG,9,9810.71,21-28243308-5,,88296.39
92,11/04/2018,MOUSE_GEN,10,8825.72,21-28243308-5,,88257.2
215,06/12/2017,MOUSE_GEN,9,9051.41,20-33263109-4,,81462.69
37,13/05/2018,HD_WESTERN,8,9855.4,21-28243308-5,,78843.2
79,03/05/2018,KEYBRD_485,9,8674.68,20-33263109-4,,78072.12
128,27/10/2018,MONITOR_LG,8,9751.68,20-33263109-4,,78013.44
4,30/06/2018,MOUSE_GEN,8,9680.68,20-33853109-5,,77445.44
142,02/12/2017,KEYBRD_485,7,11034.58,20-33263109-4,,77242.06
22,14/11/2018,LCD_TV,9,8547.48,20-33853109-5,,76927.32
154,27/10/2018,LCD_TV,10,7452.97,21-28243308-5,,74529.7
20,17/10/2018,DVD_REC,8,9261.13,20-33263109-4,,74089.04
248,31/10/2018,HD_WESTERN,10,7309.62,20-33853109-5,,73096.2
38,08/04/2018,DVD_REC,7,10352.57,20-15343109-5,,72467.99
50,18/10/2018,DVD_REC,9,8044.87,21-28243308-5,,72403.83
73,13/07/2018,LCD_TV,8,8599.31,20-15343109-5,,68794.48
170,28/08/2018,LCD_TV,6,11176.54,21-28243308-5,,67059.24
